zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
78827,28.42467,-99.73537,Asherton,TX,Texas,TRUE,,1219,4.6,48127,Dimmit,{'48127':100},FALSE,FALSE,America/Chicago
78828,29.86443,-100.01737,Barksdale,TX,Texas,TRUE,,258,0.6,48137,Edwards,"{'48137':74.42,'48385':25.58}",FALSE,FALSE,America/Chicago
78829,28.88992,-99.5591,Batesville,TX,Texas,TRUE,,1207,0.9,48507,Zavala,{'48507':100},FALSE,FALSE,America/Chicago
78830,28.52537,-99.50854,Big Wells,TX,Texas,TRUE,,786,1.5,48127,Dimmit,{'48127':100},FALSE,FALSE,America/Chicago
78832,29.39073,-100.41626,Brackettville,TX,Texas,TRUE,,3598,1.3,48271,Kinney,{'48271':100},FALSE,FALSE,America/Chicago
78833,29.69362,-100.0589,Camp Wood,TX,Texas,TRUE,,1299,2.1,48137,Edwards,"{'48137':9.16,'48385':84.6,'48463':6.24}",FALSE,FALSE,America/Chicago
78834,28.46432,-99.92139,Carrizo Springs,TX,Texas,TRUE,,7829,5.4,48127,Dimmit,{'48127':100},FALSE,FALSE,America/Chicago
78836,28.29633,-99.70453,Catarina,TX,Texas,TRUE,,128,0.2,48127,Dimmit,{'48127':100},FALSE,FALSE,America/Chicago
78837,29.83396,-101.21497,Comstock,TX,Texas,TRUE,,281,0.1,48465,Val Verde,{'48465':100},FALSE,FALSE,America/Chicago
78838,29.5291,-99.74382,Concan,TX,Texas,TRUE,,275,2.4,48463,Uvalde,{'48463':100},FALSE,FALSE,America/Chicago
78839,28.71397,-99.81652,Crystal City,TX,Texas,TRUE,,8578,9.2,48507,Zavala,"{'48127':0.15,'48507':99.85}",FALSE,FALSE,America/Chicago
78840,29.74211,-100.88273,Del Rio,TX,Texas,TRUE,,48149,19.5,48465,Val Verde,{'48465':100},FALSE,FALSE,America/Chicago
78843,29.35687,-100.77863,Laughlin Afb,TX,Texas,TRUE,,336,27,48465,Val Verde,{'48465':100},FALSE,FALSE,America/Chicago
78850,29.2803,-99.32772,D Hanis,TX,Texas,TRUE,,1145,1.6,48325,Medina,{'48325':100},FALSE,FALSE,America/Chicago
78851,30.00451,-101.93072,Dryden,TX,Texas,TRUE,,23,0,48443,Terrell,{'48443':100},FALSE,FALSE,America/Chicago
78852,28.75206,-100.31076,Eagle Pass,TX,Texas,TRUE,,53040,35.8,48323,Maverick,{'48323':100},FALSE,FALSE,America/Chicago
78860,28.4824,-100.29501,El Indio,TX,Texas,TRUE,,229,1.8,48323,Maverick,{'48323':100},FALSE,FALSE,America/Chicago
78861,29.4267,-99.15448,Hondo,TX,Texas,TRUE,,13701,11.5,48325,Medina,{'48325':100},FALSE,FALSE,America/Chicago
78870,29.29912,-99.62906,Knippa,TX,Texas,TRUE,,984,3.2,48463,Uvalde,{'48463':100},FALSE,FALSE,America/Chicago
78871,29.99927,-101.64943,Langtry,TX,Texas,TRUE,,45,0,48465,Val Verde,{'48465':100},FALSE,FALSE,America/Chicago
78872,28.92589,-99.88007,La Pryor,TX,Texas,TRUE,,1905,4,48507,Zavala,{'48507':100},FALSE,FALSE,America/Chicago
78873,29.76653,-99.73619,Leakey,TX,Texas,TRUE,,1788,3,48385,Real,{'48385':100},FALSE,FALSE,America/Chicago
78877,28.94734,-100.59231,Quemado,TX,Texas,TRUE,,989,6.4,48323,Maverick,{'48323':100},FALSE,FALSE,America/Chicago
78879,29.64778,-99.67588,Rio Frio,TX,Texas,TRUE,,264,2.3,48385,Real,"{'48385':79.17,'48463':20.83}",FALSE,FALSE,America/Chicago
78880,29.97978,-100.28849,Rocksprings,TX,Texas,TRUE,,1682,0.4,48137,Edwards,"{'48137':97.92,'48385':2.08}",FALSE,FALSE,America/Chicago
78881,29.38703,-99.52982,Sabinal,TX,Texas,TRUE,,2335,3.7,48463,Uvalde,{'48463':100},FALSE,FALSE,America/Chicago
78883,29.68094,-99.31614,Tarpley,TX,Texas,TRUE,,353,1.8,48019,Bandera,{'48019':100},FALSE,FALSE,America/Chicago
78884,29.61297,-99.49586,Utopia,TX,Texas,TRUE,,1158,1.8,48463,Uvalde,"{'48019':43.96,'48325':1.55,'48463':54.49}",FALSE,FALSE,America/Chicago
78885,29.82233,-99.54779,Vanderpool,TX,Texas,TRUE,,120,0.6,48019,Bandera,"{'48019':92.5,'48385':7.5}",FALSE,FALSE,America/Chicago
